Model Number,FLUKE A3000FC
Tool Name,A3000FC - B
Logged Data

Start Time,Stop Time,Elapsed Time,Interval,Total Readings
Jun 29 2024 13:01:01,Jun 30 2024 13:56:34,1:00:55:33,00:01:00,1496

Reading,Start Time,Duration,Max Time,Max(A AC),Average(A AC),Min Time,Min (A AC),Stop Time
125,Jun 29 2024 15:05:01,00:01:00,Jun 29 2024 15:05:11,"16.8","13.6",Jun 29 2024 15:05:56,"12",Jun 29 2024 15:06:01
126,Jun 29 2024 15:06:01,00:01:00,Jun 29 2024 15:06:41,"16.5","13.3",Jun 29 2024 15:06:11,"11.9",Jun 29 2024 15:07:01
127,Jun 29 2024 15:07:01,00:01:00,Jun 29 2024 15:07:26,"13.5","12.3",Jun 29 2024 15:07:43,"12",Jun 29 2024 15:08:01
128,Jun 29 2024 15:08:01,00:01:00,Jun 29 2024 15:08:13,"16.2","13.5",Jun 29 2024 15:08:04,"12.2",Jun 29 2024 15:09:01
129,Jun 29 2024 15:09:01,00:01:00,Jun 29 2024 15:09:56,"13.1","12.3",Jun 29 2024 15:09:43,"12",Jun 29 2024 15:10:01
130,Jun 29 2024 15:10:01,00:01:00,Jun 29 2024 15:10:56,"13","12.3",Jun 29 2024 15:10:49,"12",Jun 29 2024 15:11:01
131,Jun 29 2024 15:11:01,00:01:00,Jun 29 2024 15:11:11,"13.5","12.2",Jun 29 2024 15:11:41,"11.9",Jun 29 2024 15:12:01
132,Jun 29 2024 15:12:01,00:01:00,Jun 29 2024 15:12:11,"13.3","11.8",Jun 29 2024 15:12:57,"8.6",Jun 29 2024 15:13:01
133,Jun 29 2024 15:13:01,00:01:00,Jun 29 2024 15:13:56,"10.5","9",Jun 29 2024 15:13:26,"8.6",Jun 29 2024 15:14:01
134,Jun 29 2024 15:14:01,00:01:00,Jun 29 2024 15:14:58,"18.8","9.4",Jun 29 2024 15:14:41,"8.9",Jun 29 2024 15:15:01
135,Jun 29 2024 15:15:01,00:01:00,Jun 29 2024 15:15:56,"10.9","10",Jun 29 2024 15:15:41,"9.3",Jun 29 2024 15:16:01
136,Jun 29 2024 15:16:01,00:01:00,Jun 29 2024 15:16:52,"11.1","9.9",Jun 29 2024 15:16:13,"9.3",Jun 29 2024 15:17:01
137,Jun 29 2024 15:17:01,00:01:00,Jun 29 2024 15:17:44,"20.2","10.4",Jun 29 2024 15:17:01,"9.3",Jun 29 2024 15:18:01
138,Jun 29 2024 15:18:01,00:01:00,Jun 29 2024 15:18:56,"12","11",Jun 29 2024 15:18:56,"10.5",Jun 29 2024 15:19:01
139,Jun 29 2024 15:19:01,00:01:00,Jun 29 2024 15:19:56,"12","10.8",Jun 29 2024 15:19:41,"10.4",Jun 29 2024 15:20:01
